동,세대,층,EV1,EV-2,초소,1F,B1a,B1b,B2a,B2b,1F34L,B1c,B1d,B2c,B2d
101,3,29,2,101-2,1,9001,9002,9003,,,,,,,
102,3,29,2,,2,9001,9002,9003,9004,9005,,,,,
103,3,27,2,103-2,1,9001,9002,9003,,,,,,,
104,3,29,2,104-2,2,9001,9002,9003,9004,9005,,,,,
105,3,29,2,,3,9001,9002,9003,9004,9005,,,,,
106,3,27,2,106-2,3,9001,9002,9003,,,,,,,
107,2,26,1,,1,9001,9002,9003,,,,,,,
108,2,29,1,,3,9001,9002,9003,,,,,,,
109,4,29,2,109-2,3,9001,9002,9003,,,,,,,
110,2,26,1,,3,9001,9002,9003,,,,,,,
111,3,28,2,,2,9001,9002,9003,,,,9201,,,
111-22,2,28,2,,2,9001,9002,9003,,,,9201,,,
112,3,28,2,,2,9001,9002,9003,,,,,,,
112-22,2,28,2,,2,9001,9002,9003,,,,,,,
113,2,27,2,,2,9001,9002,9003,,,,,,,
114,2,27,2,,2,9001,9002,9003,,,,9201,,,
115,2,28,2,,5,9001,9002,9003,,,,,,,
116,2,28,2,,6,9001,9002,9003,9004,9005,,,,,
117,2,28,2,,6,9001,9002,9003,9004,9005,,,,,
118,3,29,2,,6,9001,9002,9003,9004,9005,,,,,
119,3,29,2,,6,9001,9002,9003,9004,9005,,,,,
120,3,29,2,,5,9001,9002,9003,9004,9005,,,,,
121,3,29,2,,5,9001,9002,9003,9004,9005,,,,,
122,3,29,2,,7,9001,9002,9003,9004,9005,,,,,
123,3,29,2,123-2,6,9001,9002,9003,9004,9005,,,,,
124,3,29,2,124-2,6,9001,9002,9003,,,,,,,
125,3,28,2,125-2,6,9001,9002,9003,,,,,,,
126,2,27,2,,7,9001,9002,9003,,,,,,,
127,3,27,2,,8,9001,9002,9003,,,,,,,
127-21,2,27,2,,8,9001,9002,9003,,,,,,,
128,3,27,2,,8,9001,9002,9003,,,,,,,
128-21,2,27,2,,8,9001,9002,9003,,,,,,,
129,3,27,2,,8,9001,9002,9003,,,,,,,
129-21,2,27,2,,8,9001,9002,9003,,,,,,,
130,3,28,2,130-2,7,9001,9002,9003,,,,,,,
131,4,26,1,,7,9001,9002,9003,9004,9005,9006,9007,9008,,
132,4,26,1,,7,9001,9002,9003,9004,9005,9006,9007,9008,,
133,4,27,1,,8,9001,9002,9003,9004,9005,9006,9007,9008,9009,9010
134,4,28,1,,9,9001,9002,9003,9004,9005,9006,9007,9008,9009,9010
135,4,27,1,,9,9001,9002,9003,9004,9005,9006,9007,,,
136,2,28,1,,10,9001,9002,9003,,,,9201,,,
137,2,28,1,,10,9001,9002,9003,,,,,,,
138,4,28,2,138-2,10,9001,9002,9003,,,,,,,
139,2,26,1,,10,9001,9002,9003,,,,,,,
140,4,28,2,140-2,9,9001,9002,9003,9004,9005,9006,9007,,,
141,2,28,1,,9,9001,9002,9003,9004,9005,,,,,
142,2,23,1,,9,9001,9002,9003,,,,,,,
143,4,26,2,143-2,9,9001,9002,9003,,,,,,,
144,2,26,1,,9,9001,9002,9003,,,,,,,
