dong,sedae,floor,post,ev
101,3,29,1 ,2
102,3,29,1 ,2
103,3,27,1 ,1
104,3,29,2 ,2
105,3,29,2 ,2
106,3,27,2 ,2
107,2,26,2 ,2
108,2,29,2 ,2
109,4,29,2 ,2
110,2,26,3 ,2
111,3,28,3 ,2
112,3,28,3 ,1
113,2,27,3 ,2
114,2,27,3 ,1
115,2,28,5 ,2
116,2,28,5 ,2
117,2,28,5 ,2
118,3,29,6 ,2
119,3,29,6 ,2
120,3,29,6 ,2
121,3,29,6 ,2
122,3,29,6 ,2
123,3,29,6 ,2
124,3,29,6 ,2
125,3,28,7 ,2
126,2,27,7 ,2
127,3,27,7 ,2
128,3,27,7 ,2
129,3,27,7 ,2
130,3,28,8 ,2
131,4,26,8 ,2
132,4,26,8 ,2
133,4,27,8 ,2
134,4,28,9 ,2
135,4,27,9 ,2
136,2,28,9 ,2
137,2,28,9 ,1
138,4,28,9 ,1
139,2,26,9 ,2
140,4,28,9 ,1
141,2,28,10 ,1
142,2,23,10 ,1
143,4,26,10 ,2
144,2,26,10 ,1
